Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval	analysis_url
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3	5	0.1196585397066272	0.2212386718366553	15236	2038	55753	0.2086351623372177	0.0279074862722006	0.7634573513905816	1. e4 d5 2. exd5 Bg4 3. Nc3	rn1qkbnr/ppp1pppp/8/3P4/6b1/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 3	1	-870	https://lichess.org/SPPPOror
A50: Indian Defense: Normal Variation	d2d4,g8f6,c2c4,f6e4,b1c3,e4f2,e1f2,c7c5,g1f3,c5d4	10	0.0276916368640057	0.1035451954679534	227	16	482	0.313103448275862	0.0220689655172413	0.6648275862068965	1. d4 Nf6 2. c4 Ne4 3. Nc3 Nxf2 4. Kxf2 c5 5. Nf3 cxd4	rnbqkb1r/pp1ppppp/8/8/2Pp4/2N2N2/PP2PKPP/R1BQ1B1R w kq - 0 6	2	+546	https://lichess.org/YbmTDL3A
B02: Alekhine Defense: Two Pawns Attack	e2e4,g8f6,e4e5,f6d5,c2c4,d5e3	6	0.0914727833252412	0.1691255562845356	842	58	1707	0.3229766014576141	0.0222477943996931	0.6547756041426928	1. e4 Nf6 2. e5 Nd5 3. c4 Ne3	rnbqkb1r/pppppppp/8/4P3/2P5/4n3/PP1P1PPP/RNBQKBNR w KQkq - 1 4	3	+752	https://lichess.org/cttKVkJ0
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,b1c3,c8g4	6	0.0814052396772934	0.1505115067499986	1347	117	2577	0.3333333333333333	0.0289532293986636	0.637713437268003	1. e4 d5 2. exd5 c6 3. Nc3 Bg4	rn1qkbnr/pp2pppp/2p5/3P4/6b1/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4	4	+790	https://lichess.org/ecAdO7kt
B01: Scandinavian Defense: Mieses-Kotroc Variation	e2e4,d7d5,e4d5,d8d5,b1c3,d5e6,f1e2,h7h5,g1f3,h5h4,h2h3,e6g6	12	0.0589433882202322	0.1089814145765837	1197	80	2033	0.361631419939577	0.0241691842900302	0.6141993957703927	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ 4. Be2 h5 5. Nf3 h4 6. h3 Qg6	rnb1kbnr/ppp1ppp1/6q1/8/7p/2N2N1P/PPPPBPP1/R1BQK2R w KQkq - 1 7	5	+306	https://lichess.org/DmdnUX2s
C50: Italian Game: Rousseau Gambit	e2e4,e7e5,g1f3,b8c6,f1c4,f7f5,e4f5,e5e4	8	0.0562587138291049	0.1040176752725348	23101	1967	39418	0.358232794715132	0.0305027447818131	0.6112644605030549	1. e4 e5 2. Nf3 Nc6 3. Bc4 f5 4. exf5 e4	r1bqkbnr/pppp2pp/2n5/5P2/2B1p3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5	6	-10	https://lichess.org/kOpezJ2y
B40: Sicilian Defense: French Variation	e2e4,c7c5,g1f3,e7e6,d2d4,d8b6,d4c5	7	0.0638470886281006	0.1180479481309922	3975	342	6756	0.3589813058791655	0.030885938769981	0.6101327553508534	1. e4 c5 2. Nf3 e6 3. d4 Qb6 4. dxc5	rnb1kbnr/pp1p1ppp/1q2p3/2P5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4	7	+28	https://lichess.org/BXyoWSCf
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,d8c7,c6b7,c8b7,g1f3,b8c6	10	0.0760268353423669	0.1405672851793775	288	30	493	0.3551171393341553	0.0369913686806411	0.6078914919852034	1. e4 d5 2. exd5 c6 3. dxc6 Qc7 4. cxb7 Bxb7 5. Nf3 Nc6	r3kbnr/pbq1pppp/2n5/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	8	+250	https://lichess.org/sKaFjfHc
B13: Caro-Kann Defense: Exchange Variation	e2e4,c7c6,d2d4,d7d5,e4d5,c8g4	6	0.0782399070748814	0.1446590704542203	1483	111	2464	0.3654509610645638	0.0273533760473139	0.6071956628881222	1. e4 c6 2. d4 d5 3. exd5 Bg4	rn1qkbnr/pp2pppp/2p5/3P4/3P2b1/8/PPP2PPP/RNBQKBNR w KQkq - 1 4	9	+835	https://lichess.org/34DV1Lyr
B28: Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,e7e5,d4f3,f8e7	10	0.0631083974365276	0.1166821696539882	268	21	433	0.371191135734072	0.0290858725761772	0.5997229916897507	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 e5 5. Nf3 Be7	rnbqk1nr/1p1pbppp/p7/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 6	10	+55	https://lichess.org/OFg0cY94
B40: Sicilian Defense: Kveinis Variation	e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,d8b6,b1c3	9	0.0740788013886704	0.1369655326787607	13323	1885	22078	0.3573191010030574	0.0505551681596309	0.5921257308373116	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Qb6 5. Nc3	rnb1kbnr/pp1p1ppp/1q2p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5	11	+49	https://lichess.org/LIyDhMRG
