Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3	5	0.1194590703652166	0.220965170395779	14886	1963	54243	0.209390648736848	0.0276121082540932	0.7629972430090587	1. e4 d5 2. exd5 Bg4 3. Nc3	rn1qkbnr/ppp1pppp/8/3P4/6b1/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 3	1
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3,g4d1,c3d1,g8f6	8	0.061947857272846	0.1145858476555959	3925	502	11667	0.2438797067230023	0.0311917484776935	0.7249285447993041	1. e4 d5 2. exd5 Bg4 3. Nc3 Bxd1 4. Nxd1 Nf6	rn1qkb1r/ppp1pppp/5n2/3P4/8/8/PPPP1PPP/R1BNKBNR w KQkq - 1 5	1
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3,g4d1	6	0.1194590703652166	0.220965170395779	14376	1916	41571	0.2484489224547638	0.0331126972331196	0.7184383803121166	1. e4 d5 2. exd5 Bg4 3. Nc3 Bxd1	rn1qkbnr/ppp1pppp/8/3P4/8/2N5/PPPP1PPP/R1BbKBNR w KQkq - 0 4	1
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3,g4d1,c3d1	7	0.061947857272846	0.1145858476555959	7851	993	21094	0.2622419667312445	0.0331685483332219	0.7045894849355334	1. e4 d5 2. exd5 Bg4 3. Nc3 Bxd1 4. Nxd1	rn1qkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/R1BNKBNR b KQkq - 0 4	1
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3,g4d1,c3d1,c7c6	8	0.061947857272846	0.1145858476555959	952	135	2475	0.2672655811341943	0.0379000561482313	0.6948343627175744	1. e4 d5 2. exd5 Bg4 3. Nc3 Bxd1 4. Nxd1 c6	rn1qkbnr/pp2pppp/2p5/3P4/8/8/PPPP1PPP/R1BNKBNR w KQkq - 0 5	1
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3,g4d1,c3d1,d8d5	8	0.061947857272846	0.1145858476555959	2337	292	5324	0.2938513768389287	0.0367157047654973	0.669432918395574	1. e4 d5 2. exd5 Bg4 3. Nc3 Bxd1 4. Nxd1 Qxd5	rn2kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/R1BNKBNR w KQkq - 0 5	1
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3,g4d1,c3d1,e7e6	8	0.061947857272846	0.1145858476555959	399	39	724	0.3433734939759036	0.0335628227194492	0.6230636833046471	1. e4 d5 2. exd5 Bg4 3. Nc3 Bxd1 4. Nxd1 e6	rn1qkbnr/ppp2ppp/4p3/3P4/8/8/PPPP1PPP/R1BNKBNR w KQkq - 0 5	1
A50: Indian Defense: Normal Variation	d2d4,g8f6,c2c4,f6e4,b1c3,e4f2,e1f2,c7c5,g1f3,c5d4	10	0.0277236372919556	0.103686901218032	226	15	479	0.3138888888888889	0.0208333333333333	0.6652777777777777	1. d4 Nf6 2. c4 Ne4 3. Nc3 Nxf2 4. Kxf2 c5 5. Nf3 cxd4	rnbqkb1r/pp1ppppp/8/8/2Pp4/2N2N2/PP2PKPP/R1BQ1B1R w kq - 0 6	2
A50: Indian Defense: Normal Variation	d2d4,g8f6,c2c4,f6e4,b1c3,e4f2,e1f2,c7c5	8	0.056816343092156	0.2124941432369546	422	37	869	0.3177710843373494	0.0278614457831325	0.6543674698795181	1. d4 Nf6 2. c4 Ne4 3. Nc3 Nxf2 4. Kxf2 c5	rnbqkb1r/pp1ppppp/8/2p5/2PP4/2N5/PP2PKPP/R1BQ1BNR w kq - 0 5	2
A50: Indian Defense: Normal Variation	d2d4,g8f6,c2c4,f6e4,b1c3,e4f2,e1f2,c7c5,g1f3	9	0.0277236372919556	0.103686901218032	254	16	503	0.3285899094437257	0.0206985769728331	0.6507115135834411	1. d4 Nf6 2. c4 Ne4 3. Nc3 Nxf2 4. Kxf2 c5 5. Nf3	rnbqkb1r/pp1ppppp/8/2p5/2PP4/2N2N2/PP2PKPP/R1BQ1B1R b kq - 1 5	2
