Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval	analysis_url
B06: Modern Defense	d2d4,g7g6,e2e4,f8g7,c1h6,d7d6	6	0.0102222480342406	0.193306631733688	9336	189	957	0.890669719519176	0.0180309101316542	0.09129937034917	1. d4 g6 2. e4 Bg7 3. Bh6 d6	rnbqk1nr/ppp1ppbp/3p2pB/8/3PP3/8/PPP2PPP/RN1QKBNR w KQkq - 0 4	1	1154	https://lichess.org/eOatZRN4
A40: Horwitz Defense	d2d4,e7e6,c1g5,d7d5	4	0.0297843493131459	0.30349253757878	127756	3045	20669	0.84344094540173	0.0201029906912259	0.136456063907044	1. d4 e6 2. Bg5 d5	rnbqkbnr/ppp2ppp/4p3/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3	2	959	https://lichess.org/leVXRiTr
B10: Caro-Kann Defense: Breyer Variation	e2e4,c7c6,d2d3,d7d5,g1f3,d5e4,f3g5,e4d3,f1d3,g8f6,g5f7,e8f7	12	0.0122353343242025	0.148239730654433	10969	362	2250	0.807672483616818	0.0266548855018039	0.165672630881378	1. e4 c6 2. d3 d5 3. Nf3 dxe4 4. Ng5 exd3 5. Bxd3 Nf6 6. Nxf7 Kxf7	rnbq1b1r/pp2pkpp/2p2n2/8/8/3B4/PPP2PPP/RNBQK2R w KQ - 0 7	3	532	https://lichess.org/Ur37Kja3
A06: Zukertort Opening: Tennison Gambit	g1f3,d7d5,e2e4,d5e4,f3e5,g8f6,d1h5,g7g6,f1c4	9	0.0327569546386949	0.117932848972411	797	8	279	0.735239852398524	0.007380073800738	0.257380073800738	1. Nf3 d5 2. e4 dxe4 3. Ne5 Nf6 4. Qh5 g6 5. Bc4	rnbqkb1r/ppp1pp1p/5np1/4N2Q/2B1p3/8/PPPP1PPP/RNB1K2R b KQkq - 1 5	4	-205	https://lichess.org/gvdmtOgk
B15: Caro-Kann Defense	e2e4,c7c6,d2d4,d7d5,b1c3,d5e4,d4d5,c6d5,d1d5,d8d5	10	0.0218724388382284	0.265000069162056	957	51	301	0.73109243697479	0.0389610389610389	0.229946524064171	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. d5 cxd5 5. Qxd5 Qxd5	rnb1kbnr/pp2pppp/8/3q4/4p3/2N5/PPP2PPP/R1B1KBNR w KQkq - 0 6	5	57	https://lichess.org/xCPtvRVD
C00: French Defense: Diemer-Duhm Gambit Accepted	e2e4,e7e6,d2d4,d7d5,c2c4,d5e4,d4d5,e6d5,c4d5,g8f6,b1c3,f8b4,d1a4	13	0.0175808362656601	0.149569811789422	4401	163	1496	0.726237623762376	0.0268976897689769	0.246864686468647	1. e4 e6 2. d4 d5 3. c4 dxe4 4. d5 exd5 5. cxd5 Nf6 6. Nc3 Bb4 7. Qa4+	rnbqk2r/ppp2ppp/5n2/3P4/Qb2p3/2N5/PP3PPP/R1B1KBNR b KQkq - 4 7	6	484	https://lichess.org/n4DEbW0Q
B10: Caro-Kann Defense	e2e4,c7c6,b1c3,d7d5,d1e2,d5e4,c3e4,g8f6,e4f6,g7f6,b2b3	11	0.01682292475321	0.203821633978783	931	43	321	0.718918918918919	0.0332046332046332	0.247876447876448	1. e4 c6 2. Nc3 d5 3. Qe2 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. b3	rnbqkb1r/pp2pp1p/2p2p2/8/8/1P6/P1PPQPPP/R1B1KBNR b KQkq - 0 6	7	-1	https://lichess.org/XHM2f2Nw
C44: Scotch Game	e2e4,e7e5,g1f3,b8c6,d2d4,e5d4,f3g5,h7h6,g5f7,e8f7,f1c4	11	0.0582123385945945	0.183437237377911	20343	391	7589	0.71825018536172	0.0138050347773894	0.26794477986089	1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Ng5 h6 5. Nxf7 Kxf7 6. Bc4+	r1bq1bnr/pppp1kp1/2n4p/8/2BpP3/8/PPP2PPP/RNBQK2R b KQ - 1 6	8	-390	https://lichess.org/26k0fiuA
D00: Blackmar-Diemer Gambit	d2d4,d7d5,e2e4,d5e4,b1c3,g8f6,d1e2,c8f5,e2b5	9	0.0576174679245378	0.162498554584181	4072	120	1579	0.705596950268584	0.020793623288858	0.273609426442558	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2 Bf5 5. Qb5+	rn1qkb1r/ppp1pppp/5n2/1Q3b2/3Pp3/2N5/PPP2PPP/R1B1KBNR b KQkq - 5 5	9	-139	https://lichess.org/dKSX3sqs
B12: Caro-Kann Defense: Advance Variation, Bayonet Attack	e2e4,c7c6,d2d4,d7d5,e4e5,c8f5,g2g4,f5g6,h2h4,h7h6,h4h5,g6h7,e5e6	13	0.0101400498441909	0.122853876967793	12999	523	4927	0.704591034744431	0.0283484199685619	0.267060545287007	1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bg6 5. h4 h6 6. h5 Bh7 7. e6	rn1qkbnr/pp2pppb/2p1P2p/3p3P/3P2P1/8/PPP2P2/RNBQKBNR b KQkq - 0 7	10	167	https://lichess.org/6NQJYD43
A01: Nimzo-Larsen Attack	b2b3,e7e6,c1b2,d7d5,b2g7,g8f6	6	0.0132424119834533	0.137643939902056	4155	170	1613	0.699730549006399	0.0286291680700572	0.271640282923543	1. b3 e6 2. Bb2 d5 3. Bxg7 Nf6	rnbqkb1r/ppp2pBp/4pn2/3p4/8/1P6/P1PPPPPP/RN1QKBNR w KQkq - 1 4	11	721	https://lichess.org/MbGzGHXW
B13: Caro-Kann Defense: Exchange Variation	e2e4,c7c6,d2d4,d7d5,e4d5,c6d5,c1f4,b8c6,b1c3,g8f6,c3b5	11	0.0188521053128766	0.228406591908308	14940	680	5827	0.696600923206043	0.0317060661164731	0.271693010677484	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bf4 Nc6 5. Nc3 Nf6 6. Nb5	r1bqkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/8/PPP2PPP/R2QKBNR b KQkq - 5 6	12	151	https://lichess.org/CEqgiBUC
A02: Bird Opening: From's Gambit, Lasker Variation	f2f4,e7e5,f4e5,d7d6,e5d6,f8d6,g1f3,g7g5,d2d3,g5g4,f3d4,d8h4,g2g3,d6g3,h2g3,h4h1,c1f4	17	0.0261672940911513	0.23313482279379	1808	84	707	0.695652173913043	0.0323201231242785	0.272027702962678	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5 5. d3 g4 6. Nd4 Qh4+ 7. g3 Bxg3+ 8. hxg3 Qxh1 9. Bf4	rnb1k1nr/ppp2p1p/8/8/3N1Bp1/3P2P1/PPP1P3/RN1QKB1q b Qkq - 1 9	13	100	https://lichess.org/PAmkoWnm
A06: Zukertort Opening: Tennison Gambit	e2e4,d7d5,g1f3,d5e4,f3g5,g8f6,d1e2,c8f5,e2b5	9	0.0159162323493723	0.161465133713212	22854	699	9858	0.68402621890994	0.020921253479393	0.295052527610667	1. e4 d5 2. Nf3 dxe4 3. Ng5 Nf6 4. Qe2 Bf5 5. Qb5+	rn1qkb1r/ppp1pppp/5n2/1Q3bN1/4p3/8/PPPP1PPP/RNB1KB1R b KQkq - 5 5	14	-150	https://lichess.org/Pvj11OSt
B20: Sicilian Defense: Mengarini Variation	e2e4,c7c5,a2a3,b8c6,b2b4,c5b4,a3b4,c6b4,d2d4,d7d5,c2c3	11	0.0235525406296847	0.100539679878596	7806	431	3201	0.682461968875678	0.0376814128344116	0.279856618289911	1. e4 c5 2. a3 Nc6 3. b4 cxb4 4. axb4 Nxb4 5. d4 d5 6. c3	r1bqkbnr/pp2pppp/8/3p4/1n1PP3/2P5/5PPP/RNBQKBNR b KQkq - 0 6	15	0	https://lichess.org/oRF8G485
A06: Zukertort Opening: Tennison Gambit	e2e4,d7d5,g1f3,d5e4,f3g5,g8f6,b1c3,c8f5,f1c4,e7e6,d2d3,e4d3,d1f3	13	0.0149264520532875	0.151424126246998	1902	102	784	0.682209469153515	0.0365853658536585	0.281205164992826	1. e4 d5 2. Nf3 dxe4 3. Ng5 Nf6 4. Nc3 Bf5 5. Bc4 e6 6. d3 exd3 7. Qf3	rn1qkb1r/ppp2ppp/4pn2/5bN1/2B5/2Np1Q2/PPP2PPP/R1B1K2R b KQkq - 1 7	16	-295	https://lichess.org/IK6ea6vm
A00: Van Geet Opening: Dunst-Perrenet Gambit	d2d3,d7d5,e2e4,d5e4,b1c3,e4d3,c1g5	7	0.150992326053692	0.544889412006772	639	16	286	0.679064824654623	0.0170031880977683	0.303931987247609	1. d3 d5 2. e4 dxe4 3. Nc3 exd3 4. Bg5	rnbqkbnr/ppp1pppp/8/6B1/8/2Np4/PPP2PPP/R2QKBNR b KQkq - 1 4	17	-158	https://lichess.org/fxU3bO2a
A06: Zukertort Opening: Tennison Gambit	g1f3,d7d5,e2e4,d5e4,f3e5,g8f6,f1b5,c7c6,d1h5	9	0.0915120605110938	0.329465242738417	1360	57	601	0.673934588701685	0.0282457879088206	0.297819623389495	1. Nf3 d5 2. e4 dxe4 3. Ne5 Nf6 4. Bb5+ c6 5. Qh5	rnbqkb1r/pp2pppp/2p2n2/1B2N2Q/4p3/8/PPPP1PPP/RNB1K2R b KQkq - 1 5	18	-1407	https://lichess.org/MkFiBN7u
B01: Scandinavian Defense	e2e4,d7d5,e4e5,d5d4,f1b5,c7c6,b5e2	7	0.0122724839814976	0.124500461137331	376	12	170	0.673835125448029	0.021505376344086	0.304659498207885	1. e4 d5 2. e5 d4 3. Bb5+ c6 4. Be2	rnbqkbnr/pp2pppp/2p5/4P3/3p4/8/PPPPBPPP/RNBQK1NR b KQkq - 1 4	19	-3	https://lichess.org/pqAIdyFw
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,f1g2,f8g7,g2b7,e8h8	8	0.0396912901779309	0.198128230602254	472	27	202	0.673323823109843	0.0385164051355206	0.288159771754636	1. c4 Nf6 2. g3 g6 3. Bg2 Bg7 4. Bxb7 O-O	rnbq1rk1/pBppppbp/5np1/8/2P5/6P1/PP1PPP1P/RNBQK1NR w KQ - 1 5	20	556	https://lichess.org/SWoutFbJ
B20: Sicilian Defense: Wing Gambit, Abrahams Variation	e2e4,c7c5,b2b4,c5b4,c1b2,b8c6,d2d4,d7d5,e4d5,d8d5,c2c4	11	0.0247766847236686	0.105765233132894	2264	107	996	0.672408672408672	0.0317790317790317	0.295812295812296	1. e4 c5 2. b4 cxb4 3. Bb2 Nc6 4. d4 d5 5. exd5 Qxd5 6. c4	r1b1kbnr/pp2pppp/2n5/3q4/1pPP4/8/PB3PPP/RN1QKBNR b KQkq c3 0 6	21	10	https://lichess.org/MlqMgmlm
B10: Caro-Kann Defense	e2e4,c7c6,g1f3,d7d5,f3e5,d5e4,d1h5,g7g6,f1c4	9	0.025543967820522	0.309483240034512	1775	58	809	0.671839515518547	0.0219530658591975	0.306207418622256	1. e4 c6 2. Nf3 d5 3. Ne5 dxe4 4. Qh5 g6 5. Bc4	rnbqkbnr/pp2pp1p/2p3p1/4N2Q/2B1p3/8/PPPP1PPP/RNB1K2R b KQkq - 1 5	22	-269	https://lichess.org/InVfQ3xP
A00: Van Geet Opening	b1c3,d7d5,e2e4,d5d4,f1b5,c7c6,b5c4	7	0.093462476656452	0.378373988331896	451	12	211	0.669139465875371	0.0178041543026706	0.313056379821958	1. Nc3 d5 2. e4 d4 3. Bb5+ c6 4. Bc4	rnbqkbnr/pp2pppp/2p5/8/2BpP3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 4	23	-420	https://lichess.org/zj7lWGEz
D10: Slav Defense: Diemer Gambit	e2e4,c7c6,d2d4,d7d5,c2c4,d5e4,b1c3,g8f6,f1e2,c8f5,g2g4,f5g6,h2h4	13	0.0268137930024145	0.324868070391752	337	22	146	0.667326732673267	0.0435643564356435	0.289108910891089	1. e4 c6 2. d4 d5 3. c4 dxe4 4. Nc3 Nf6 5. Be2 Bf5 6. g4 Bg6 7. h4	rn1qkb1r/pp2pppp/2p2nb1/8/2PPp1PP/2N5/PP2BP2/R1BQK1NR b KQkq - 0 7	24	-123	https://lichess.org/6477qNPP
C11: French Defense: Classical Variation, Steinitz Variation	b1c3,e7e6,e2e4,d7d5,d2d4,g8f6,e4e5,f6d7,d1h5,c7c5,g1f3	11	0.0158129476647619	0.14525953681489	3498	158	1600	0.665525114155251	0.0300608828006088	0.30441400304414	1. Nc3 e6 2. e4 d5 3. d4 Nf6 4. e5 Nfd7 5. Qh5 c5 6. Nf3	rnbqkb1r/pp1n1ppp/4p3/2ppP2Q/3P4/2N2N2/PPP2PPP/R1B1KB1R b KQkq - 1 6	25	-85	https://lichess.org/6kjAK9Re
C00: French Defense: Schlechter Variation	e2e4,e7e6,d2d4,d7d5,f1d3,g8f6,e4e5,f6d7,g1f3,c7c5,f3g5	11	0.0170024566989646	0.144649219752371	491	9	240	0.663513513513514	0.0121621621621621	0.324324324324324	1. e4 e6 2. d4 d5 3. Bd3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. Ng5	rnbqkb1r/pp1n1ppp/4p3/2ppP1N1/3P4/3B4/PPP2PPP/RNBQK2R b KQkq - 1 6	26	-102	https://lichess.org/buR8PZnI
B10: Caro-Kann Defense	e2e4,c7c6,f2f4,d7d5,d2d3,d5e4,d3e4,d8d1,e1d1,c8g4,d1e1	11	0.0181521083221182	0.219925633185041	441	49	176	0.662162162162162	0.0735735735735735	0.264264264264264	1. e4 c6 2. f4 d5 3. d3 dxe4 4. dxe4 Qxd1+ 5. Kxd1 Bg4+ 6. Ke1	rn2kbnr/pp2pppp/2p5/8/4PPb1/8/PPP3PP/RNB1KBNR b kq - 2 6	27	15	https://lichess.org/03ty3x62
C00: French Defense: Schlechter Variation	e2e4,e7e6,d2d4,d7d5,f1d3,g8f6,e4e5,f6d7,f2f4,c7c5,f4f5	11	0.0185986156746577	0.158228619160506	415	19	194	0.660828025477707	0.0302547770700636	0.308917197452229	1. e4 e6 2. d4 d5 3. Bd3 Nf6 4. e5 Nfd7 5. f4 c5 6. f5	rnbqkb1r/pp1n1ppp/4p3/2ppPP2/3P4/3B4/PPP3PP/RNBQK1NR b KQkq - 0 6	28	-158	https://lichess.org/n2x430LR
B50: Sicilian Defense	e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,e4e5,g8f6	8	0.0234269953413962	0.100003759644205	1952	87	922	0.659236744343127	0.0293819655521783	0.311381290104694	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. e5 Nf6	rnbqkb1r/pp2pppp/3p1n2/4P3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5	29	574	https://lichess.org/6BIjxSNE
