Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
B06: Modern Defense	d2d4,g7g6,e2e4,f8g7,c1h6,d7d6	6	0.0102222480342406	0.1933066317336883	9336	189	957	0.8906697195191757	0.0180309101316542	0.09129937034917	1. d4 g6 2. e4 Bg7 3. Bh6 d6	rnbqk1nr/ppp1ppbp/3p2pB/8/3PP3/8/PPP2PPP/RN1QKBNR w KQkq - 0 4	1
B06: Modern Defense	d2d4,g7g6,e2e4,f8g7,c1h6,d7d6,h6g7	7	0.0102222480342406	0.1933066317336883	4953	187	937	0.8150403159453677	0.0307717623827546	0.1541879216718775	1. d4 g6 2. e4 Bg7 3. Bh6 d6 4. Bxg7	rnbqk1nr/ppp1ppBp/3p2p1/8/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 4	1
A00: Mieses Opening	d2d3,g8f6,g2g3,g7g6,c1h6,f8g7	6	0.0359843777428672	0.2744297252769022	728	30	174	0.7811158798283262	0.0321888412017167	0.186695278969957	1. d3 Nf6 2. g3 g6 3. Bh6 Bg7	rnbqk2r/ppppppbp/5npB/8/8/3P2P1/PPP1PP1P/RN1QKBNR w KQkq - 2 4	1
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,d2d3,g7g6,c1h6,f8g7	6	0.0292817662467072	0.2743986687342246	728	30	174	0.7811158798283262	0.0321888412017167	0.186695278969957	1. g3 Nf6 2. d3 g6 3. Bh6 Bg7	rnbqk2r/ppppppbp/5npB/8/8/3P2P1/PPP1PP1P/RN1QKBNR w KQkq - 2 4	1
A04: Zukertort Opening: Kingside Fianchetto	g1f3,g7g6,d2d4,f8g7,c1h6,g8f6,h6g7,h8g8,g7f6,e7f6,g2g3	11	0.0102248913275409	0.1523848186193226	627	36	154	0.7674418604651163	0.04406364749082	0.1884944920440636	1. Nf3 g6 2. d4 Bg7 3. Bh6 Nf6 4. Bxg7 Rg8 5. Bxf6 exf6 6. g3	rnbqk1r1/pppp1p1p/5pp1/8/3P4/5NP1/PPP1PP1P/RN1QKB1R b KQq - 0 6	1
A00: Mieses Opening	d2d3,g8f6,g2g3,g7g6,c1h6,f8g7,h6g7,h8g8,g7f6	9	0.0327453400422145	0.249727666158266	532	28	144	0.7556818181818182	0.0397727272727272	0.2045454545454545	1. d3 Nf6 2. g3 g6 3. Bh6 Bg7 4. Bxg7 Rg8 5. Bxf6	rnbqk1r1/pppppp1p/5Bp1/8/8/3P2P1/PPP1PP1P/RN1QKBNR b KQq - 0 5	1
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,d2d3,g7g6,c1h6,f8g7,h6g7,h8g8,g7f6	9	0.0266460462269666	0.2496994050873708	532	28	144	0.7556818181818182	0.0397727272727272	0.2045454545454545	1. g3 Nf6 2. d3 g6 3. Bh6 Bg7 4. Bxg7 Rg8 5. Bxf6	rnbqk1r1/pppppp1p/5Bp1/8/8/3P2P1/PPP1PP1P/RN1QKBNR b KQq - 0 5	1
A00: Mieses Opening	d2d3,g8f6,g2g3,g7g6,c1h6,f8g7,h6g7,h8g8	8	0.0327453400422145	0.249727666158266	557	28	153	0.7547425474254743	0.037940379403794	0.2073170731707317	1. d3 Nf6 2. g3 g6 3. Bh6 Bg7 4. Bxg7 Rg8	rnbqk1r1/ppppppBp/5np1/8/8/3P2P1/PPP1PP1P/RN1QKBNR w KQq - 1 5	1
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,d2d3,g7g6,c1h6,f8g7,h6g7,h8g8	8	0.0266460462269666	0.2496994050873708	557	28	153	0.7547425474254743	0.037940379403794	0.2073170731707317	1. g3 Nf6 2. d3 g6 3. Bh6 Bg7 4. Bxg7 Rg8	rnbqk1r1/ppppppBp/5np1/8/8/3P2P1/PPP1PP1P/RN1QKBNR w KQq - 1 5	1
A00: Mieses Opening	d2d3,g8f6,g2g3,g7g6,c1h6,f8g7,h6g7,h8g8,g7f6,e7f6	10	0.0313034287619466	0.2387311354041378	508	28	138	0.7537091988130564	0.0415430267062314	0.2047477744807121	1. d3 Nf6 2. g3 g6 3. Bh6 Bg7 4. Bxg7 Rg8 5. Bxf6 exf6	rnbqk1r1/pppp1p1p/5pp1/8/8/3P2P1/PPP1PP1P/RN1QKBNR w KQq - 0 6	1
