Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob
B00: King's Pawn	e2e4	1	0.5406239822830404	1	187073833	17035232	177864084	0.4897565011827572	0.044597982985448016	0.46564551583179475
B00: King's Pawn	e2e4,e7e5	2	0.5406239822830404	1	61442676	5262214	54510961	0.506886479722854	0.04341192968236473	0.4497015905947812
B20: Sicilian Defense	e2e4,c7c5	2	0.5406239822830404	1	42944089	4143781	42293945	0.4804566678356218	0.04636044815156193	0.4731828840128163
B27: Sicilian Defense	e2e4,c7c5,g1f3	3	0.30271418317515486	0.5599348032930412	24123472	2453307	23790460	0.4789516455329227	0.04870838760885821	0.4723399668582191
B30: Sicilian Defense: Old Sicilian	e2e4,c7c5,g1f3,b8c6	4	0.30271418317515486	0.5599348032930412	9547266	944002	9153732	0.48598961567828963	0.048053041486383306	0.4659573428353271
B32: Sicilian Defense: Open	e2e4,c7c5,g1f3,b8c6,d2d4	5	0.15366588626782685	0.28423801256263176	4882255	495184	4684630	0.48521382630152904	0.04921294020146354	0.4655732334970074
B32: Sicilian Defense: Open	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4	6	0.15366588626782685	0.28423801256263176	4800439	494138	4680662	0.4812354871898307	0.04953645722172672	0.46922805558844255
B32: Sicilian Defense: Open	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4	7	0.14275499167597305	0.2640559730131146	4458814	467829	4366856	0.47977774571235227	0.05033938240053612	0.46988287188711164
B32: Sicilian Defense: Löwenthal Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,e7e5	8	0.14275499167597305	0.2640559730131146	1170368	122723	1146652	0.4797095431772937	0.050301609636752724	0.46998884718595363
B32: Sicilian Defense: Löwenthal Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,e7e5,d4b5	9	0.06054882795493431	0.1119980428896962	516092	56224	462489	0.4987335778238412	0.054332941955247606	0.4469334802209112
B32: Sicilian Defense: Löwenthal Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,e7e5,d4c6	9	0.04472844589650661	0.08273485335892723	352742	38559	373127	0.4614456822617696	0.05044163740731632	0.4881126803309141
B33: Sicilian Defense: Open	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6	8	0.14275499167597305	0.2640559730131146	1027056	120463	1067212	0.4637384856219559	0.05439170716443668	0.48186980721360745
B33: Sicilian Defense: Open	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3	9	0.11572918857398519	0.21406595409486642	893262	104668	902962	0.46991728093968516	0.05506257062473828	0.47502014843557655
B33: Sicilian Defense: Lasker-Pelikan Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5	10	0.11572918857398519	0.21406595409486642	450683	55519	445760	0.47342540983778764	0.05832060523424255	0.4682539849279698
B33: Sicilian Defense: Lasker-Pelikan Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5,d4b5	11	0.07092731847289842	0.1311952869226672	289045	35385	259002	0.4954219172071467	0.060649741529432734	0.44392834126342057
B33: Sicilian Defense: Lasker-Pelikan Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5,d4c6	11	0.015886410281577664	0.029385322890208804	58190	7570	64918	0.445293010300127	0.05792864904574603	0.49677834065412696
B56: Sicilian Defense: Classical Variation	e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6	10	0.11572918857398519	0.21406595409486642	608686	65636	604011	0.47615605636403036	0.05134499383181065	0.472498949804159
